Gender,BMCT_tot,MI_avg_amax,MK_avg_amax,ME_avg_amax,mech_int_avg,mech_exp_avg,Mech_SE_avg,Masculinity_avg,Femininity_avg,Gender_Role,ST_Endorse_avg,female_STend_avg,male_STend_avg
0,48,2.75,2,2,2.6,1.888888889,3.25,5.2,5.8,-0.6,3.3,4,2.6
0,38,2,2.4,3,2.4,2.777777778,4,4.35,5.388888889,-1.038888889,3,3,3
0,40,2.5,2,1.2,2.2,1.666666667,1.75,4.65,4.75,-0.1,2.1,2.2,2
0,34,2.5,3.6,3.6,2.6,3.555555556,4,4,6.4,-2.4,2.6,3,2.2
0,21,2,2.6,2.4,2.8,2.333333333,1.857142857,4.8,6.35,-1.55,2.6,3,2.2
0,45,1.5,2.6,2.6,2.2,2.444444444,3.125,4.7,5.85,-1.15,2.4,2.4,2.4
0,43,3,3,3.2,2.75,3.111111111,3.5,5.1,5.4,-0.3,2.3,3,1.6
0,36,2,3,3.4,2.2,3.222222222,3.75,5,4.15,0.85,2.6,3,2.2
0,23,3,3,3,3,3,1.875,4,4,0,2,2,2
0,38,2.75,2.4,3.2,2.4,2.777777778,3.875,5.45,5.9,-0.45,3.4,4,2.8
0,32,3.25,3.4,3.2,3,3.222222222,3.75,4.9,5.3,-0.4,3.1,3.4,2.8
0,35,3.75,3.2,4,3.6,3.555555556,4,5,4.55,0.45,3.8,4,3.6
0,32,3.5,3,4.2,3.4,3.555555556,4.375,5.7,4.85,0.85,2.7,3.4,2
0,43,1,1.8,1.4,1.6,1.444444444,1.625,5.05,5.65,-0.6,2.4,2.6,2.2
0,48,3.75,3.4,4,3.4,3.777777778,5.5,5.4,4.7,0.7,2.9,3.8,2
0,30,3,3,2.4,3.4,2.555555556,3.875,4.3,5.105263158,-0.805263158,2.7,2.8,2.6
0,40,3.5,2.6,2.2,3.2,2.222222222,3.5,5.2,5.55,-0.35,1.6,1.8,1.4
0,30,3.75,3.4,3.6,3.4,3.444444444,4.25,6,6.4,-0.4,3.444444444,4.5,2.6
0,32,3.5,3.4,2.6,3.2,2.888888889,3.5,4.95,5.25,-0.3,1.6,2,1.2
